scenario,year,ensemble_mean,sd,n_models
historical,1850,13.675716666666666,0.6078115403196551,35
historical,1851,13.681835714285715,0.6332681495370033,35
historical,1852,13.698804761904762,0.6250016411556418,35
historical,1853,13.709892857142858,0.6189865909236085,35
historical,1854,13.699916666666667,0.6605221604986498,35
historical,1855,13.691657142857142,0.6519818557171716,35
historical,1856,13.697761904761904,0.6270231047693265,35
historical,1857,13.680714285714286,0.6579016834730805,35
historical,1858,13.668795238095239,0.6356003528594747,35
historical,1859,13.692295238095237,0.63863946683877,35
historical,1860,13.677066666666667,0.6404314166467042,35
historical,1861,13.66470238095238,0.6549931014472676,35
historical,1862,13.602988095238095,0.656572326115792,35
historical,1863,13.6313,0.6955572098609448,35
historical,1864,13.671954761904763,0.6774206735337398,35
historical,1865,13.67617380952381,0.6519685275655883,35
historical,1866,13.697909523809523,0.6481642826037475,35
historical,1867,13.712707142857143,0.6389947669920549,35
historical,1868,13.704347619047619,0.6737289620097242,35
historical,1869,13.704640476190477,0.6984432358799809,35
historical,1870,13.696811904761905,0.6537173820400008,35
historical,1871,13.743495238095239,0.6644275021504695,35
historical,1872,13.730319047619048,0.6730714732650976,35
historical,1873,13.71542619047619,0.6564929534002216,35
historical,1874,13.695138095238095,0.6870704103300964,35
historical,1875,13.69512142857143,0.6841111610066832,35
historical,1876,13.701283333333333,0.6855744860324754,35
historical,1877,13.715659523809524,0.668474002167097,35
historical,1878,13.722480952380952,0.6740046877218002,35
historical,1879,13.703469047619048,0.6692360722332227,35
historical,1880,13.72367380952381,0.6460181356001368,35
historical,1881,13.720080952380952,0.6745867094362932,35
historical,1882,13.716061904761904,0.6664198318604565,35
historical,1883,13.69507619047619,0.6674480174158739,35
historical,1884,13.39795238095238,0.6680980565670049,35
historical,1885,13.439611904761906,0.6616879247038439,35
historical,1886,13.535921428571429,0.6395247881306245,35
historical,1887,13.577392857142858,0.6450074392118711,35
historical,1888,13.653290476190476,0.6715733789068047,35
historical,1889,13.642288095238095,0.6646008674750226,35
historical,1890,13.643704761904761,0.6481335001720594,35
historical,1891,13.62787619047619,0.6548713250384456,35
historical,1892,13.656866666666668,0.6470343428672648,35
historical,1893,13.664214285714285,0.6649626455445858,35
historical,1894,13.69992380952381,0.6480574030277314,35
historical,1895,13.70534761904762,0.6493863485567559,35
historical,1896,13.70802142857143,0.6519856796962221,35
historical,1897,13.733295238095238,0.6544725076058975,35
historical,1898,13.74677619047619,0.6743664894401501,35
historical,1899,13.748845238095239,0.6592917570949826,35
historical,1900,13.759366666666667,0.6566340305540821,35
historical,1901,13.739791666666667,0.7705244049039796,20
historical,1902,13.712554166666667,0.75928649432489,20
historical,1903,13.549204166666668,0.6940852716938387,20
historical,1904,13.560495833333334,0.7313534809446882,20
historical,1905,13.583804166666667,0.7366578194053752,20
historical,1906,13.6233875,0.739211217369727,20
historical,1907,13.665425,0.7456284168659424,20
historical,1908,13.686529166666666,0.7687178216890188,20
historical,1909,13.654466666666666,0.7767512384306245,20
historical,1910,13.68695,0.7660198498603785,20
historical,1911,13.725116666666667,0.7655998849085139,20
historical,1912,13.647570833333333,0.7635344858090802,20
historical,1913,13.592895833333333,0.7273542055006643,20
historical,1914,13.630904166666667,0.7459585934582695,20
historical,1915,13.690654166666667,0.7367238200595451,20
historical,1916,13.691929166666666,0.7823218713770832,20
historical,1917,13.707158333333334,0.7804399184441873,20
historical,1918,13.728295833333334,0.7696603291563406,20
historical,1919,13.740295833333333,0.7035383418454443,20
historical,1920,13.736879166666666,0.6983419845562818,20
historical,1921,13.787745833333334,0.7506820108017604,20
historical,1922,13.723445833333333,0.7594022648824704,20
historical,1923,13.7356,0.7412756595955191,20
historical,1924,13.782187500000001,0.7183894429357179,20
historical,1925,13.780666666666667,0.7251028481194077,20
historical,1926,13.776258333333333,0.727605103790101,20
historical,1927,13.7945875,0.7485212632167327,20
historical,1928,13.8117875,0.7376662175039855,20
historical,1929,13.8144625,0.6939372514665526,20
historical,1930,13.779716666666667,0.7096955911964953,20
historical,1931,13.7419625,0.7217462135948134,20
historical,1932,13.7771,0.7513728651316472,20
historical,1933,13.757033333333334,0.7027702573737188,20
historical,1934,13.798504166666666,0.7159811763851516,20
historical,1935,13.8061875,0.7308037051521982,20
historical,1936,13.787708333333333,0.7164497302733611,20
historical,1937,13.794470833333333,0.7352618279296025,20
historical,1938,13.841583333333332,0.7509041114876938,20
historical,1939,13.815341666666667,0.7137579660763355,20
historical,1940,13.8433625,0.7368279916209148,20
historical,1941,13.8758,0.7193629107539677,20
historical,1942,13.867275,0.6873665591391589,20
historical,1943,13.846866666666667,0.7384471078827183,20
historical,1944,13.890970833333334,0.78948197367054,20
historical,1945,13.8786375,0.7700305940013678,20
historical,1946,13.8639125,0.7050481586735593,20
historical,1947,13.848508333333333,0.6937343127671618,20
historical,1948,13.890770833333333,0.7071407627821761,20
historical,1949,13.903166666666667,0.7238694467078941,20
historical,1950,13.91442619047619,0.6314660662937364,35
historical,1951,13.934864285714285,0.630145312141651,35
historical,1952,13.933959523809524,0.6399578884644962,35
historical,1953,13.931666666666667,0.6377188048829256,35
historical,1954,13.926661904761906,0.6283425279996551,35
historical,1955,13.946061904761905,0.6460825576504806,35
historical,1956,13.906564285714285,0.6614457560439925,35
historical,1957,13.928426190476191,0.6393593021991546,35
historical,1958,13.940238095238096,0.6212556055502739,35
historical,1959,13.930385714285714,0.619008796834011,35
historical,1960,13.944845238095239,0.585103628587114,35
historical,1961,13.96015,0.6206706418624411,35
historical,1962,13.913888095238095,0.6335321211320457,35
historical,1963,13.821188095238096,0.6385969990397227,35
historical,1964,13.741407142857144,0.6093028899923539,35
historical,1965,13.754411904761906,0.6266734560225072,35
historical,1966,13.812640476190476,0.622821928585443,35
historical,1967,13.775880952380952,0.5910986441727447,35
historical,1968,13.823833333333333,0.6309224349098305,35
historical,1969,13.857740476190477,0.6074529291896936,35
historical,1970,13.880828571428571,0.6425375189138385,35
