year,ssp126_co2_ppm,ssp126_co2_PgC,ssp126_ch4_ppb,ssp126_ch4_PgC_equiv,ssp126_n2o_ppb,ssp126_n2o_PgC_equiv,ssp126_total_PgC_equiv,ssp245_co2_ppm,ssp245_co2_PgC,ssp245_ch4_ppb,ssp245_ch4_PgC_equiv,ssp245_n2o_ppb,ssp245_n2o_PgC_equiv,ssp245_total_PgC_equiv,ssp370_co2_ppm,ssp370_co2_PgC,ssp370_ch4_ppb,ssp370_ch4_PgC_equiv,ssp370_n2o_ppb,ssp370_n2o_PgC_equiv,ssp370_total_PgC_equiv,ssp585_co2_ppm,ssp585_co2_PgC,ssp585_ch4_ppb,ssp585_ch4_PgC_equiv,ssp585_n2o_ppb,ssp585_n2o_PgC_equiv,ssp585_total_PgC_equiv
16,452.0587745,960.1728371,1722.141451,109.0032876,339.6492873,196.9463185,1266.122443,463.3177631,984.0869288,2037.677969,128.9752346,345.0953158,200.104209,1313.166372,476.4598483,1012.000718,2216.422607,140.2889122,347.0625939,201.2449392,1353.534569,479.8129554,1019.122717,2123.737793,134.4224084,346.0791673,200.6746973,1354.219823
17,453.7099177,963.6798652,1706.082011,107.9868021,339.9934794,197.145899,1268.812566,466.4211756,990.6785771,2040.384603,129.1465515,345.9439189,200.5962732,1320.421402,480.7664541,1021.147948,2235.64325,141.5054866,348.1106847,201.8526768,1364.506112,484.929479,1029.990213,2145.178243,135.7794859,347.0033417,201.2105817,1366.980281
18,455.3636297,967.1923494,1690.831828,107.0215387,340.3195292,197.3349597,1271.548848,469.5587692,997.3428258,2042.681325,129.291923,346.7649206,201.0723327,1327.707082,485.1109543,1030.375667,2254.402181,142.6928369,349.1329498,202.4454392,1375.513943,490.1317546,1041.039847,2167.00588,137.1610706,347.9008662,201.7310131,1379.93193
19,456.9429626,970.5468527,1675.47641,106.0496145,340.6334559,197.5169907,1274.113458,472.7064616,1004.028524,2044.371836,129.3989243,347.5856145,201.5482138,1334.975662,489.5121994,1039.723912,2273.088664,143.8756016,350.1634242,203.0429618,1386.642475,495.4696045,1052.37744,2189.5967,138.590961,348.8011805,202.2530621,1393.221463
20,458.447909,973.7433588,1660.015971,105.0710429,340.9356232,197.692203,1276.506605,475.8654938,1010.738309,2045.517995,129.4714706,348.4045919,202.0230994,1342.232879,493.9714406,1049.19534,2291.697367,145.0534432,351.2028453,203.6456722,1397.894455,500.9442851,1064.005661,2212.909302,140.0665368,349.7037303,202.7764074,1406.848606
21,459.8818359,976.7890195,1644.488892,104.0882533,341.2267024,197.8609858,1278.738259,479.0345612,1017.469408,2046.140116,129.5108479,349.2231878,202.4977639,1349.47802,498.4906184,1058.794073,2310.247579,146.2275826,352.2501017,204.252926,1409.274582,506.5567907,1075.926623,2236.835632,141.5809587,350.6087723,203.3011978,1420.80878
22,461.2411474,979.676197,1629.149323,103.1173322,341.508695,198.0244998,1280.818029,482.2038829,1024.201047,2046.031392,129.5039662,350.035965,202.9690544,1356.674068,503.0596949,1068.498792,2328.737976,147.3979359,353.3041102,204.8640949,1420.760823,512.315829,1088.158821,2260.933818,143.1062582,351.5081253,203.8226895,1435.087768
23,462.5244624,982.4019581,1614.168844,102.1691398,341.7856267,198.1850792,1282.756177,485.3666967,1030.918864,2045.061534,129.4425788,350.8420054,203.4364385,1363.797881,507.6764221,1078.304721,2347.181437,148.5653185,354.3642298,205.4788074,1432.348846,518.227361,1100.714915,2284.92509,144.6247905,352.3964996,204.3378151,1449.67752
24,463.733078,984.9690577,1599.510234,101.2413201,342.0557048,198.3416845,1284.552062,488.5239182,1037.624802,2043.317088,129.3321637,351.6417084,203.9001479,1370.857114,512.3407033,1088.211654,2365.583313,149.7300689,355.4313151,206.0975589,1444.039282,524.2919006,1113.595997,2308.831034,146.1379221,353.2758153,204.8476881,1464.581607
25,464.8675715,987.3787219,1585.148285,100.3322777,342.3206355,198.4953051,1286.206305,491.677241,1044.32246,2040.848165,129.1758928,352.4336395,204.3593507,1377.857703,517.0560913,1098.227138,2383.936259,150.8917223,356.5042801,206.7197198,1455.83858,530.5108236,1126.804989,2332.646037,147.6452974,354.1440303,205.3511242,1479.801411
26,465.9270681,989.6290926,1571.064016,99.44081109,342.5786718,198.644928,1287.714832,494.8266042,1051.011707,2037.698964,128.9765635,353.2194036,204.8149776,1384.803248,521.8215688,1108.349012,2402.248291,152.050786,357.583313,207.3453992,1467.745197,536.8858185,1140.345478,2356.369751,149.1468947,355.0024033,205.8488535,1495.341227
27,466.9128215,991.7228328,1557.247854,98.56631434,342.831749,198.7916753,1289.080822,497.9732539,1057.695191,2033.927572,128.7378524,353.9972534,205.2660154,1391.699059,526.6393026,1118.581879,2420.511108,153.2067347,358.6682561,207.9745056,1479.763119,543.4169718,1154.217648,2379.99412,150.6422038,355.8507182,206.3407506,1511.200603
28,467.8255819,993.6615359,1543.676158,97.70729113,343.0788371,198.9349498,1290.303777,501.1177673,1064.374138,2029.573812,128.4622803,354.7692261,205.7136453,1398.550063,531.5103658,1128.928017,2438.733459,154.3601221,359.7594248,208.607222,1491.895361,550.106486,1168.426176,2403.54303,152.1327368,356.6890666,206.8268686,1527.385782
29,468.6654612,995.4454396,1530.322174,96.86204807,343.3209483,199.0753385,1291.382826,504.2593689,1071.0469,2024.6875,128.1530003,355.5339661,206.1570813,1405.356981,536.4364624,1139.391046,2456.905334,155.5103145,360.8573888,209.2438786,1504.145239,556.9564107,1182.975416,2426.989665,153.6167962,357.5173823,207.3071692,1543.899382
30,469.4334488,997.0766452,1517.174998,96.02989493,343.5568644,199.2121349,1292.318675,507.4004008,1077.718451,2019.307973,127.812502,356.291982,206.5966184,1412.127572,541.4179179,1149.971658,2475.025553,156.6572374,361.9602534,209.8833769,1516.512272,563.9669698,1197.865844,2450.362712,155.0961979,358.3357824,207.7817201,1560.743762
31,470.1309713,998.558183,1504.232941,95.21072483,343.787089,199.3456311,1293.114539,510.5379028,1084.382506,2013.457855,127.4422176,357.0437469,207.0325308,1418.857254,546.4559733,1160.672487,2493.103109,157.8014599,363.0693512,210.5264894,1529.000437,571.1415914,1213.10474,2473.569194,156.5650568,359.1454468,208.2512056,1577.921003
32,470.7650757,999.9050208,1491.563121,94.40878603,344.0134277,199.4768741,1293.790681,513.6565526,1091.006518,2007.099589,127.0397699,357.7859624,207.4629059,1425.509194,551.5452983,1171.482214,2511.212463,158.9476951,364.1841304,211.1728964,1541.602805,578.5020345,1228.738321,2495.568746,157.9575229,359.9485499,208.7168866,1595.412731
33,471.3425217,1001.131516,1479.204742,93.62656001,344.23585,199.6058461,1294.363922,516.7441406,1097.564555,2000.213776,126.603931,358.5171254,207.8868722,1432.055358,556.6846364,1182.398168,2529.381368,160.0976996,365.30277,211.8215418,1554.317409,586.061086,1244.793747,2515.666951,159.2296428,360.7481944,209.180562,1613.203952
34,471.8618749,1002.234622,1467.143331,92.86313056,344.455368,199.7331341,1294.830887,519.8012899,1104.05794,1992.846436,126.1376137,359.2372665,208.3044475,1438.500001,561.8753866,1193.423321,2547.600911,161.2509092,366.4254125,212.4725083,1567.146739,593.8170115,1261.267332,2534.073283,160.3946753,361.5456518,209.6429693,1631.304977
35,472.3242594,1003.216727,1455.356608,92.11708758,344.6718928,199.8586864,1295.192501,522.8306376,1110.492274,1985.033783,125.6431103,359.9465535,208.715729,1444.851114,567.1190796,1204.560925,2565.879252,162.4078404,367.5522156,213.1258873,1580.094653,601.7722829,1278.164329,2550.858602,161.4571054,362.3390554,210.1030259,1649.72446
36,472.7285919,1004.075529,1443.818502,91.38678083,344.8852743,199.982416,1295.444726,525.8319092,1116.866975,1976.8078,125.1224451,360.6458181,209.1211989,1451.110619,572.4149424,1215.809338,2584.195475,163.5671694,368.6839244,213.7821109,1593.158618,609.9263509,1295.483569,2566.147807,162.4248387,363.1294963,210.5613647,1668.469773
37,473.0761414,1004.813724,1432.52772,90.67212855,345.0946655,200.103832,1295.589685,528.8052826,1123.18242,1968.206268,124.5780094,361.3339233,209.5201981,1457.280628,577.7663167,1227.175657,2602.551819,164.7290379,369.8197301,214.4407102,1606.345405,618.279719,1313.226123,2580.051615,163.304883,363.9158452,211.0173307,1687.548337
38,473.3664042,1005.430243,1421.452983,89.97115082,345.3012466,200.2236185,1295.625012,531.7518921,1129.441019,1959.249369,124.0110807,362.0111949,209.9129154,1463.365015,583.1734517,1238.660411,2620.934998,165.8926049,370.9603373,215.1020935,1619.65511,626.8343048,1331.396063,2592.649597,164.1022748,364.6995341,211.4717542,1706.970092
