iIRF100,alpha,,,,
43.8977956,0.4442637,,,,
44.0681363,0.4523260,,,,
44.2384770,0.4605046,,,,
44.4088176,0.4688002,,,,
44.5791583,0.4772132,,,,
44.7494990,0.4857441,,,,
44.9198397,0.4943935,,,,
45.0901804,0.5031618,,,,
45.2605210,0.5120496,,,,
45.4308617,0.5210575,,,,
45.6012024,0.5301859,,,,
45.7715431,0.5394356,,,,
45.9418838,0.5488070,,,,
46.1122244,0.5583009,,,,
46.2825651,0.5679179,,,,
46.4529058,0.5776586,,,,
46.6232465,0.5875239,,,,
46.7935872,0.5975145,,,,
46.9639279,0.6076312,,,,
47.1342685,0.6178749,,,,
47.3046092,0.6282463,,,,
47.4749499,0.6387466,,,,
47.6452906,0.6493766,,,,
47.8156313,0.6601375,,,,
47.9859719,0.6710302,,,,
48.1563126,0.6820560,,,,
48.3266533,0.6932160,,,,
48.4969940,0.7045115,,,,
48.6673347,0.7159438,,,,
48.8376754,0.7275143,,,,
49.0080160,0.7392243,,,,
49.1783567,0.7510755,,,,
49.3486974,0.7630692,,,,
49.5190381,0.7752072,,,,
49.6893788,0.7874912,,,,
49.8597194,0.7999228,,,,
50.0300601,0.8125038,,,,
50.2004008,0.8252362,,,,
50.3707415,0.8381219,,,,
50.5410822,0.8511628,,,,
50.7114228,0.8643611,,,,
50.8817635,0.8777188,,,,
51.0521042,0.8912383,,,,
51.2224449,0.9049217,,,,
51.3927856,0.9187714,,,,
51.5631263,0.9327899,,,,
51.7334669,0.9469797,,,,
51.9038076,0.9613432,,,,
52.0741483,0.9758832,,,,
52.2444890,0.9906023,,,,
52.4148297,1.0055034,,,,
52.5851703,1.0205893,,,,
52.7555110,1.0358630,,,,
52.9258517,1.0513275,,,,
53.0961924,1.0669858,,,,
53.2665331,1.0828412,,,,
53.4368737,1.0988969,,,,
53.6072144,1.1151562,,,,
53.7775551,1.1316226,,,,
53.9478958,1.1482996,,,,
54.1182365,1.1651907,,,,
54.2885772,1.1822996,,,,
54.4589178,1.1996302,,,,
54.6292585,1.2171861,,,,
54.7995992,1.2349715,,,,
54.9699399,1.2529902,,,,
55.1402806,1.2712464,,,,
55.3106212,1.2897442,,,,
55.4809619,1.3084881,,,,
55.6513026,1.3274823,,,,
55.8216433,1.3467314,,,,
55.9919840,1.3662399,,,,
56.1623246,1.3860125,,,,
56.3326653,1.4060539,,,,
56.5030060,1.4263691,,,,
56.6733467,1.4469629,,,,
56.8436874,1.4678406,,,,
57.0140281,1.4890071,,,,
57.1843687,1.5104679,,,,
57.3547094,1.5322282,,,,
57.5250501,1.5542936,,,,
57.6953908,1.5766697,,,,
57.8657315,1.5993620,,,,
58.0360721,1.6223765,,,,
58.2064128,1.6457189,,,,
58.3767535,1.6693955,,,,
58.5470942,1.6934121,,,,
58.7174349,1.7177752,,,,
58.8877756,1.7424910,,,,
59.0581162,1.7675659,,,,
59.2284569,1.7930066,,,,
59.3987976,1.8188196,,,,
59.5691383,1.8450118,,,,
59.7394790,1.8715901,,,,
59.9098196,1.8985615,,,,
60.0801603,1.9259330,,,,
60.2505010,1.9537119,,,,
60.4208417,1.9819055,,,,
60.5911824,2.0105213,,,,
60.7615230,2.0395668,,,,
60.9318637,2.0690496,,,,
61.1022044,2.0989775,,,,
61.2725451,2.1293584,,,,
61.4428858,2.1602002,,,,
61.6132265,2.1915110,,,,
61.7835671,2.2232990,,,,
61.9539078,2.2555724,,,,
62.1242485,2.2883395,,,,
62.2945892,2.3216089,,,,
62.4649299,2.3553891,,,,
62.6352705,2.3896887,,,,
62.8056112,2.4245165,,,,
62.9759519,2.4598812,,,,
63.1462926,2.4957917,,,,
63.3166333,2.5322570,,,,
63.4869739,2.5692862,,,,
63.6573146,2.6068884,,,,
63.8276553,2.6450727,,,,
63.9979960,2.6838484,,,,
64.1683367,2.7232249,,,,
64.3386774,2.7632115,,,,
64.5090180,2.8038176,,,,
64.6793587,2.8450528,,,,
64.8496994,2.8869266,,,,
65.0200401,2.9294486,,,,
65.1903808,2.9726285,,,,
65.3607214,3.0164758,,,,
65.5310621,3.0610005,,,,
65.7014028,3.1062122,,,,
65.8717435,3.1521208,,,,
66.0420842,3.1987361,,,,
66.2124248,3.2460680,,,,
66.3827655,3.2941264,,,,
66.5531062,3.3429214,,,,
66.7234469,3.3924628,,,,
66.8937876,3.4427608,,,,
67.0641283,3.4938253,,,,
67.2344689,3.5456666,,,,
67.4048096,3.5982947,,,,
67.5751503,3.6517200,,,,
67.7454910,3.7059525,,,,
67.9158317,3.7610026,,,,
68.0861723,3.8168807,,,,
68.2565130,3.8735971,,,,
68.4268537,3.9311624,,,,
68.5971944,3.9895870,,,,
68.7675351,4.0488817,,,,
68.9378758,4.1090571,,,,
69.1082164,4.1701241,,,,
69.2785571,4.2320935,,,,
69.4488978,4.2949764,,,,
69.6192385,4.3587840,,,,
69.7895792,4.4235275,,,,
69.9599198,4.4892184,,,,
70.1302605,4.5558682,,,,
70.3006012,4.6234887,,,,
70.4709419,4.6920920,,,,
70.6412826,4.7616900,,,,
70.8116232,4.8322953,,,,
70.9819639,4.9039203,,,,
71.1523046,4.9765779,,,,
71.3226453,5.0502813,,,,
71.4929860,5.1250437,,,,
71.6633267,5.2008788,,,,
71.8336673,5.2778007,,,,
72.0040080,5.3558235,,,,
72.1743487,5.4349620,,,,
72.3446894,5.5152312,,,,
72.5150301,5.5966464,,,,
72.6853707,5.6792235,,,,
72.8557114,5.7629787,,,,
73.0260521,5.8479286,,,,
73.1963928,5.9340905,,,,
73.3667335,6.0214818,,,,
73.5370741,6.1101208,,,,
73.7074148,6.2000261,,,,
73.8777555,6.2912169,,,,
74.0480962,6.3837130,,,,
74.2184369,6.4775348,,,,
74.3887776,6.5727033,,,,
74.5591182,6.6692403,,,,
74.7294589,6.7671679,,,,
74.8997996,6.8665094,,,,
75.0701403,6.9672884,,,,
75.2404810,7.0695295,,,,
75.4108216,7.1732581,,,,
75.5811623,7.2785002,,,,
75.7515030,7.3852828,,,,
75.9218437,7.4936338,,,,
76.0921844,7.6035820,,,,
76.2625251,7.7151570,,,,
76.4328657,7.8283896,,,,
76.6032064,7.9433114,,,,
76.7735471,8.0599552,,,,
76.9438878,8.1783548,,,,
77.1142285,8.2985452,,,,
77.2845691,8.4205626,,,,
77.4549098,8.5444442,,,,
77.6252505,8.6702286,,,,
77.7955912,8.7979559,,,,
77.9659319,8.9276672,,,,
78.1362725,9.0594052,,,,
78.3066132,9.1932141,,,,
78.4769539,9.3291394,,,,
78.6472946,9.4672285,,,,
78.8176353,9.6075301,,,,
78.9879760,9.7500949,,,,
79.1583166,9.8949750,,,,
79.3286573,10.0422248,,,,
79.4989980,10.1919002,,,,
79.6693387,10.3440593,,,,
79.8396794,10.4987622,,,,
80.0100200,10.6560712,,,,
80.1803607,10.8160509,,,,
80.3507014,10.9787681,,,,
80.5210421,11.1442920,,,,
80.6913828,11.3126946,,,,
80.8617234,11.4840504,,,,
81.0320641,11.6584365,,,,
81.2024048,11.8359333,,,,
81.3727455,12.0166239,,,,
81.5430862,12.2005946,,,,
81.7134269,12.3879351,,,,
81.8837675,12.5787386,,,,
82.0541082,12.7731018,,,,
82.2244489,12.9711251,,,,
82.3947896,13.1729132,,,,
82.5651303,13.3785747,,,,
82.7354709,13.5882227,,,,
82.9058116,13.8019746,,,,
83.0761523,14.0199531,,,,
83.2464930,14.2422855,,,,
83.4168337,14.4691047,,,,
83.5871743,14.7005491,,,,
83.7575150,14.9367628,,,,
83.9278557,15.1778963,,,,
84.0981964,15.4241065,,,,
84.2685371,15.6755573,,,,
84.4388778,15.9324197,,,,
84.6092184,16.1948722,,,,
84.7795591,16.4631018,,,,
84.9498998,16.7373035,,,,
85.1202405,17.0176816,,,,
85.2905812,17.3044499,,,,
85.4609218,17.5978322,,,,
85.6312625,17.8980628,,,,
85.8016032,18.2053877,,,,
85.9719439,18.5200646,,,,
86.1422846,18.8423639,,,,
86.3126253,19.1725697,,,,
86.4829659,19.5109804,,,,
86.6533066,19.8579095,,,,
86.8236473,20.2136869,,,,
86.9939880,20.5786599,,,,
87.1643287,20.9531942,,,,
87.3346693,21.3376752,,,,
87.5050100,21.7325094,,,,
87.6753507,22.1381257,,,,
87.8456914,22.5549771,,,,
88.0160321,22.9835426,,,,
88.1863727,23.4243287,,,,
88.3567134,23.8778715,,,,
88.5270541,24.3447391,,,,
88.6973948,24.8255338,,,,
88.8677355,25.3208949,,,,
89.0380762,25.8315013,,,,
89.2084168,26.3580751,,,,
89.3787575,26.9013843,,,,
89.5490982,27.4622474,,,,
89.7194389,28.0415370,,,,
89.8897796,28.6401845,,,,
90.0601202,29.2591854,,,,
90.2304609,29.8996043,,,,
90.4008016,30.5625816,,,,
90.5711423,31.2493402,,,,
90.7414830,31.9611929,,,,
90.9118236,32.6995509,,,,
91.0821643,33.4659335,,,,
91.2525050,34.2619780,,,,
91.4228457,35.0894521,,,,
91.5931864,35.9502666,,,,
91.7635271,36.8464905,,,,
91.9338677,37.7803676,,,,
92.1042084,38.7543351,,,,
92.2745491,39.7710456,,,,
92.4448898,40.8333905,,,,
92.6152305,41.9445284,,,,
92.7855711,43.1079159,,,,
92.9559118,44.3273442,,,,
93.1262525,45.6069802,,,,
93.2965932,46.9514144,,,,
93.4669339,48.3657160,,,,
93.6372745,49.8554972,,,,
93.8076152,51.4269876,,,,
93.9779559,53.0871217,,,,
94.1482966,54.8436416,,,,
94.3186373,56.7052176,,,,
94.4889780,58.6815924,,,,
94.6593186,60.7837513,,,,
94.8296593,63.0241276,,,,
95.0000000,65.4168485,,,,
